                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.78494,                  1.016,                0.40016,                0.86604,                0.89303,                 0.7817,                0.83717,                 0.6509,                0.86768,                  0.763,                0.81139,                0.61193,                0.88186,                 1.3643,                0.45751,                 1.0206,              0.0012269,              0.0012269,              0.0012269
                     82,                0.79929,                 1.0559,                0.40737,                0.87138,                0.90896,                0.73906,                0.81334,                0.63901,                0.89122,                0.72346,                0.79163,                0.56805,                0.87996,                 1.4274,                0.44382,                 1.0192,              0.0012214,              0.0012214,              0.0012214
                     83,                0.79116,                 1.0059,                0.40302,                0.85869,                0.91073,                0.76288,                0.84562,                0.64975,                0.89179,                 0.7471,                0.82326,                0.55652,                0.88206,                 1.4009,                0.43062,                 1.0194,              0.0012159,              0.0012159,              0.0012159
                     84,                0.79184,                 1.0218,                0.40328,                0.86405,                0.89622,                0.77936,                0.84767,                0.67894,                0.87058,                 0.7603,                0.82457,                0.58223,                0.88321,                 1.3932,                0.44504,                 1.0191,              0.0012104,              0.0012104,              0.0012104
                     85,                0.75552,                0.98939,                0.39657,                0.86549,                0.76019,                  0.769,                0.75551,                0.56193,                0.72908,                0.74493,                0.72827,                0.51071,                0.87898,                 1.3719,                0.44556,                  1.013,              0.0012049,              0.0012049,              0.0012049
                     86,                0.78375,                 1.0314,                0.40083,                0.85819,                0.83082,                0.75491,                 0.7985,                0.60572,                0.80753,                 0.7376,                0.77744,                0.57023,                0.86336,                 1.3619,                0.45634,                0.99666,              0.0011994,              0.0011994,              0.0011994
                     87,                 0.7843,                  1.032,                0.40045,                0.86529,                0.88865,                0.79167,                0.85263,                0.68283,                0.86108,                0.76899,                0.82712,                0.61459,                0.86723,                 1.3348,                0.43547,                0.99966,              0.0011939,              0.0011939,              0.0011939
                     88,                0.80019,                 1.0439,                0.40394,                0.86446,                0.79854,                0.79708,                0.85215,                0.66328,                0.88237,                0.69077,                0.81395,                0.60197,                0.89692,                 1.3105,                 0.4416,                 1.0233,              0.0011884,              0.0011884,              0.0011884
                     89,                0.79278,                 1.0368,                0.40432,                0.86877,                0.88345,                0.79842,                0.82875,                0.64776,                0.85356,                0.77418,                0.80269,                0.59952,                0.88715,                 1.3276,                0.44078,                 1.0201,              0.0011829,              0.0011829,              0.0011829
                     90,                0.75516,                 1.0187,                0.39455,                0.86141,                0.90462,                0.74443,                0.84365,                0.68173,                0.88397,                0.72245,                0.81851,                0.63017,                0.90014,                 1.3201,                 0.4454,                 1.0271,              0.0011774,              0.0011774,              0.0011774
